City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Plymouth,41.8334,-70.8328,46.0,87,90,4.29,US,2021-04-19 05:27:43
67,Mount Isa,-20.7333,139.5,87.8,22,5,5.75,AU,2021-04-19 05:27:43
68,Lasa,46.6166,10.7002,37.99,100,20,8.05,IT,2021-04-19 05:27:44
69,Cochrane,51.1834,-114.4687,27.0,80,90,4.61,CA,2021-04-19 05:24:36
70,Manggar,-2.8833,108.2667,86.32,61,92,9.55,ID,2021-04-19 05:27:44
71,Antofagasta,-23.65,-70.4,62.6,77,90,2.3,CL,2021-04-19 05:18:27
72,Hualmay,-11.0964,-77.6139,67.03,87,71,6.53,PE,2021-04-19 05:27:45
73,Klaksvik,62.2266,-6.589,39.2,93,20,2.3,FO,2021-04-19 05:27:45
74,Xichang,27.8964,102.2634,78.94,30,31,8.37,CN,2021-04-19 05:27:46
75,Port Macquarie,-31.4333,152.9167,73.0,51,0,1.99,AU,2021-04-19 05:27:46
76,Tiksi,71.6872,128.8694,12.85,80,94,10.04,RU,2021-04-19 05:27:46
77,Khatanga,71.9667,102.5,6.21,86,95,8.41,RU,2021-04-19 05:27:47
78,Muros,42.7762,-9.0603,53.01,91,100,3.24,ES,2021-04-19 05:27:47
79,Belmonte,-15.8631,-38.8828,73.4,88,20,4.61,BR,2021-04-19 05:27:47
80,Yar-Sale,66.8333,70.8333,8.42,92,88,8.79,RU,2021-04-19 05:27:48
81,Grindavik,63.8424,-22.4338,32.0,86,40,1.14,IS,2021-04-19 05:27:48
82,Provideniya,64.3833,-173.3,32.0,69,0,4.47,RU,2021-04-19 05:27:49
83,Ushuaia,-54.8,-68.3,50.0,76,90,3.44,AR,2021-04-19 05:27:49
84,Kavieng,-2.5744,150.7967,84.72,70,96,9.13,PG,2021-04-19 05:27:49
85,Codrington,-38.2667,141.9667,66.33,53,98,13.4,AU,2021-04-19 05:27:50
86,Hermanus,-34.4187,19.2345,63.0,91,100,3.0,ZA,2021-04-19 05:27:50
87,Upernavik,72.7868,-56.1549,-0.87,87,99,5.1,GL,2021-04-19 05:27:51
88,Port Alfred,-33.5906,26.891,70.99,72,3,22.75,ZA,2021-04-19 05:27:51
89,Cabedelo,-6.9811,-34.8339,71.6,100,75,3.44,BR,2021-04-19 05:27:51
90,Puerto Del Rosario,28.5004,-13.8627,64.4,72,75,12.66,ES,2021-04-19 05:27:52
91,Alihe,50.5667,123.7167,41.13,26,0,14.97,CN,2021-04-19 05:27:52
92,Batemans Bay,-35.7167,150.1833,66.99,75,6,1.99,AU,2021-04-19 05:27:53
93,Longyearbyen,78.2186,15.6401,35.6,87,75,1.14,SJ,2021-04-19 05:27:53
94,Nishihara,26.1842,127.7558,75.2,53,75,13.8,JP,2021-04-19 05:27:54
95,Axim,4.8699,-2.2405,77.34,85,100,3.85,GH,2021-04-19 05:27:54
96,Torbay,47.6666,-52.7314,36.0,100,90,2.3,CA,2021-04-19 05:27:55
97,Manzhouli,49.6,117.4333,44.22,9,1,10.42,CN,2021-04-19 05:27:55
98,Seoul,37.5683,126.9778,69.8,45,0,12.66,KR,2021-04-19 05:13:16
99,Mount Pleasant,32.7941,-79.8626,69.01,94,100,3.91,US,2021-04-19 05:27:55
100,Tessalit,20.1986,1.0114,74.98,14,0,9.69,ML,2021-04-19 05:27:56
101,Vanimo,-2.6741,141.3028,80.31,80,82,1.61,PG,2021-04-19 05:27:56
102,Sibolga,1.7427,98.7792,84.79,64,94,4.25,ID,2021-04-19 05:27:57
103,Bengkulu,-3.8004,102.2655,84.13,66,20,7.52,ID,2021-04-19 05:27:57
104,Tuktoyaktuk,69.4541,-133.0374,32.0,74,1,11.5,CA,2021-04-19 05:27:57
105,Cherskiy,68.75,161.3,22.39,81,58,10.92,RU,2021-04-19 05:27:58
106,Sobolevo,54.4299,31.8996,43.38,84,95,9.62,RU,2021-04-19 05:27:58
107,Butaritari,3.0707,172.7902,83.43,76,40,11.32,KI,2021-04-19 05:27:58
108,Bethel,41.3712,-73.414,48.0,77,90,3.11,US,2021-04-19 05:27:59
109,Joao Pinheiro,-17.7425,-46.1725,63.9,82,23,3.27,BR,2021-04-19 05:27:59
110,Rio Grande,-32.035,-52.0986,66.6,69,0,11.32,BR,2021-04-19 05:28:00
111,Kulhudhuffushi,6.6221,73.07,83.19,72,45,6.08,MV,2021-04-19 05:28:00
112,Coahuayana,18.7333,-103.6833,66.61,77,0,3.2,MX,2021-04-19 05:28:00
113,Asyut,27.181,31.1837,82.4,30,0,9.22,EG,2021-04-19 05:28:01
114,Comodoro Rivadavia,-45.8667,-67.5,62.6,63,0,1.14,AR,2021-04-19 05:28:01
115,Ust-Kulom,61.6864,53.6902,32.04,45,5,2.8,RU,2021-04-19 05:28:01
116,Victoria,22.2855,114.1577,75.0,64,99,5.99,HK,2021-04-19 05:26:50
117,Saint-Raymond,45.467,-73.6095,50.0,71,86,2.3,CA,2021-04-19 05:28:02
118,Ahipara,-35.1667,173.1667,63.16,60,95,7.85,NZ,2021-04-19 05:28:02
119,Zhadovka,53.5746,46.9498,42.57,69,100,16.15,RU,2021-04-19 05:28:03
120,Mar Del Plata,-38.0023,-57.5575,64.99,94,0,4.61,AR,2021-04-19 05:28:03
121,Kasamwa,-2.85,32.4333,65.14,91,83,7.43,TZ,2021-04-19 05:28:04
122,Kysyl-Syr,63.8986,122.7617,20.41,78,100,7.96,RU,2021-04-19 05:28:04
123,Saint-Georges,12.0564,-61.7485,78.8,78,20,9.22,GD,2021-04-19 05:28:05
124,Lebu,-37.6167,-73.65,55.85,88,54,11.7,CL,2021-04-19 05:28:05
125,Kutum,14.2,24.6667,73.9,8,73,4.56,SD,2021-04-19 05:28:06
126,Oksfjord,70.2396,22.3479,41.0,51,0,3.44,NO,2021-04-19 05:28:06
127,Manoharpur,27.3,75.95,93.2,17,20,3.44,IN,2021-04-19 05:28:06
128,Banjar,-8.19,114.9675,87.8,62,20,9.22,ID,2021-04-19 05:28:07
129,Hobart,-42.8794,147.3294,66.2,34,75,28.77,AU,2021-04-19 05:28:07
130,Narsaq,60.9167,-46.05,28.4,34,90,9.22,GL,2021-04-19 05:28:07
131,Inhambane,-23.865,35.3833,62.6,94,20,1.86,MZ,2021-04-19 05:28:08
132,Massillon,40.7967,-81.5215,42.8,81,75,3.02,US,2021-04-19 05:28:08
133,Lompoc,34.6391,-120.4579,48.2,93,0,6.96,US,2021-04-19 05:28:09
134,Salamanca,40.8333,-6.0,50.0,28,100,6.38,ES,2021-04-19 05:28:09
135,Quatre Cocos,-20.2078,57.7625,82.99,83,75,11.5,MU,2021-04-19 05:28:09
136,Beloha,-25.1667,45.05,66.92,68,0,12.95,MG,2021-04-19 05:28:10
137,Lavrentiya,65.5833,-171.0,29.82,88,85,5.84,RU,2021-04-19 05:28:10
138,Iqaluit,63.7506,-68.5145,15.8,73,90,3.44,CA,2021-04-19 05:28:11
139,Belluno,46.145,12.2214,42.01,83,100,3.78,IT,2021-04-19 05:28:11
140,Sharjah,25.3573,55.4033,78.8,44,0,4.61,AE,2021-04-19 05:28:11
